ProvNum,province,id,num,fin,rees,com,pharm,Enviroment,Hotel,Civil,retail,transportation,energy,bizser,med,media,oilgas,IT,educ,agr,techser,other
110000,Beijing,5,523,9,17,2,190,6,2,25,18,3,11,13,1,12,17,164,2,2,28,169
220000,Jilin,28,41,1,2,0,26,1,0,1,2,1,3,1,0,0,0,3,0,0,0,12
320000,Jiangsu,25,403,4,8,3,295,6,0,9,14,6,4,6,1,5,1,27,0,5,9,81
210000,Liaoning,21,92,1,1,0,49,3,0,2,8,4,5,2,0,2,1,11,0,3,0,32
440000,Guangdong,8,570,10,23,2,360,3,3,22,24,15,10,17,2,2,1,62,0,3,11,148
340000,Anhui,7,113,4,3,0,73,2,0,4,4,3,3,0,0,2,1,10,0,3,1,30
510000,Sichuan,17,124,1,2,0,80,2,0,3,4,3,5,3,0,2,3,14,0,1,1,30
330000,Zhejiang,27,328,2,13,2,239,3,0,9,10,1,4,7,3,8,1,23,0,1,2,66
430000,Hunan,16,101,2,0,0,64,3,1,1,9,2,2,1,0,4,1,4,0,6,1,33
130000,Hebei,19,59,0,3,0,50,0,0,0,3,0,1,1,0,0,0,1,0,0,0,8
650000,Xinjiang,10,61,2,0,0,27,0,2,4,3,2,3,1,0,0,8,2,0,6,1,32
370000,Shandong,22,212,1,3,3,157,0,0,2,6,4,3,3,1,1,3,16,0,6,3,39
410000,Henan,20,109,1,0,0,82,0,0,4,2,1,2,1,0,1,2,9,0,3,1,18
140000,Shanxi,14,35,1,0,0,21,0,0,0,2,0,3,0,0,1,5,1,0,1,0,13
360000,Jiangxi,24,40,0,1,0,30,1,0,0,1,2,2,0,0,0,0,3,0,0,0,7
630000,Qinghai,1,9,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
420000,Hubei,15,157,2,2,0,94,5,0,8,6,2,8,3,0,4,0,18,0,2,3,45
150000,Neimenggu,29,24,1,0,0,13,1,0,1,0,0,1,0,0,0,5,1,0,1,0,10
500000,Chongqing,4,47,0,4,0,24,2,0,3,1,2,5,0,0,1,1,4,0,0,0,19
450000,Guangxi,2,35,1,1,0,18,2,0,0,2,2,2,0,0,0,0,5,0,2,0,12
350000,Fujian,6,111,1,4,1,63,0,0,2,5,1,4,2,0,0,2,21,0,3,1,27
120000,Tianjin,23,60,0,5,1,29,0,0,4,3,3,2,1,0,0,3,6,0,0,3,25
530000,Yunnan,18,43,1,2,0,25,2,0,2,2,0,0,1,0,0,1,2,0,3,2,16
520000,Guizhou,3,32,0,1,0,19,0,0,2,1,0,1,0,0,0,1,5,0,0,2,8
620000,Gansu,0,26,0,2,0,16,0,0,0,0,0,1,0,0,1,3,0,0,3,0,10
640000,Ningxia,12,16,0,0,0,9,0,0,0,1,1,1,0,0,0,0,2,0,2,0,5
610000,Shanxi,13,61,2,0,2,34,2,0,1,1,0,1,4,0,0,4,9,0,0,1,18
460000,Hainan,11,22,0,3,0,7,0,1,0,0,1,0,2,0,1,3,1,0,3,0,14
230000,Heilongjiang,30,40,1,0,0,25,0,0,1,0,2,2,1,0,0,0,4,0,4,0,11
310000,Shanghai,26,330,10,21,3,152,1,1,13,18,15,4,6,0,7,1,59,2,3,14,119
540000,Xizang,9,12,0,1,0,6,1,0,1,0,0,0,0,0,0,2,1,0,0,0,5
